date,sector,raw_sentiment,sentiment_index,lagged_signal,article_count
2020-01-03,Comm,0.2,0.2,0.0,14
2020-01-03,Consumer,0.31547005383792515,0.31547005383792515,0.0,32
2020-01-03,Energy,0.8,0.8,0.0,49
2020-01-03,Financials,0.08770642158369979,0.08770642158369979,0.0,20
2020-01-03,Healthcare,0.4358528806137671,0.4358528806137671,0.0,29
2020-01-03,Industrials,0.11547005383792516,0.11547005383792516,0.0,20
2020-01-03,Materials,0.36180339887498947,0.36180339887498947,0.0,10
2020-01-03,RealEstate,0.03253416842241698,0.03253416842241698,0.0,8
2020-01-03,Tech,0.38819660112501053,0.38819660112501053,0.0,42
2020-01-03,Utilities,0.7886751345948129,0.7886751345948129,0.0,5
2020-01-06,Comm,0.6666666666666666,0.43333333333333335,0.2,16
2020-01-06,Consumer,0.4,0.3577350269189626,0.31547005383792515,44
2020-01-06,Energy,0.4309401076758503,0.6154700538379252,0.8,34
2020-01-06,Financials,-0.23094010767585033,-0.07161684304607527,0.08770642158369979,12
2020-01-06,Healthcare,0.4309401076758503,0.4333964941448087,0.4358528806137671,12
2020-01-06,Industrials,-0.14907119849998599,-0.01680057233103041,0.11547005383792516,14
2020-01-06,Materials,0.2886751345948129,0.3252392667349012,0.36180339887498947,9
2020-01-06,RealEstate,0.0,0.01626708421120849,0.03253416842241698,4
2020-01-06,Tech,0.5154700538379251,0.4518333274814678,0.38819660112501053,13
2020-01-06,Utilities,0.14433756729740646,0.46650635094610965,0.7886751345948129,6
2020-01-07,Comm,0.1924500897298753,0.35303891879884725,0.43333333333333335,5
2020-01-07,Consumer,0.5154700538379251,0.41031336922528344,0.3577350269189626,22
2020-01-07,Energy,0.07971543724603343,0.4368851816406279,0.6154700538379252,12
2020-01-07,Financials,0.0,-0.04774456203071684,-0.07161684304607527,11
2020-01-07,Healthcare,0.11547005383792516,0.32742101404251417,0.4333964941448087,15
2020-01-07,Industrials,0.25,0.07213295177931306,-0.01680057233103041,13
2020-01-07,Materials,0.3333333333333333,0.32793728893437857,0.3252392667349012,3
2020-01-07,RealEstate,0.5,0.177511389474139,0.01626708421120849,2
2020-01-07,Tech,0.75,0.5512222183209786,0.4518333274814678,21
2020-01-07,Utilities,0.5773502691896258,0.5034543236939484,0.46650635094610965,1
2020-01-08,Comm,0.2886751345948129,0.3369479727478387,0.35303891879884725,20
2020-01-08,Consumer,0.0,0.3077350269189626,0.41031336922528344,16
2020-01-08,Energy,0.4,0.4276638862304709,0.4368851816406279,17
2020-01-08,Financials,0.0,-0.035808421523037634,-0.04774456203071684,4
2020-01-08,Healthcare,0.3333333333333333,0.328899093865219,0.32742101404251417,13
2020-01-08,Industrials,-0.3415212882298613,-0.031280608222980524,0.07213295177931306,12
2020-01-08,Materials,-0.06506833684483396,0.22968588248957544,0.32793728893437857,6
2020-01-08,RealEstate,0.5773502691896258,0.2774711094030107,0.177511389474139,3
2020-01-08,Tech,0.6504785334698024,0.5760362971081845,0.5512222183209786,22
2020-01-08,Utilities,0.0,0.3775907427704613,0.5034543236939484,3
2020-01-09,Comm,0.31547005383792515,0.332652388965856,0.3369479727478387,6
2020-01-09,Consumer,0.7154700538379252,0.3892820323027551,0.3077350269189626,25
2020-01-09,Energy,0.2886751345948129,0.39986613590333936,0.4276638862304709,10
2020-01-09,Financials,0.16329931618554522,0.0040131260186789365,-0.035808421523037634,11
2020-01-09,Healthcare,0.5773502691896258,0.37858932893010033,0.328899093865219,8
2020-01-09,Industrials,0.2787693700234704,0.03072938742630966,-0.031280608222980524,9
2020-01-09,Materials,-0.05156684612641723,0.1734353367663769,0.22968588248957544,6
2020-01-09,RealEstate,0.0,0.22197688752240854,0.2774711094030107,1
2020-01-09,Tech,0.5154700538379251,0.5639230484541327,0.5760362971081845,17
2020-01-09,Utilities,0.14433756729740646,0.33094010767585036,0.3775907427704613,5
2020-01-10,Comm,0.0,0.292652388965856,0.332652388965856,8
2020-01-10,Consumer,0.08944271909999159,0.3440765653551684,0.3892820323027551,15
2020-01-10,Energy,0.0,0.23986613590333933,0.39986613590333936,15
2020-01-10,Financials,0.4212367254758947,0.07071918679711792,0.0040131260186789365,7
2020-01-10,Healthcare,0.0,0.2914187528073469,0.37858932893010033,12
2020-01-10,Industrials,0.1924500897298753,0.046125394604699686,0.03072938742630966,8
2020-01-10,Materials,0.2886751345948129,0.1588096839103416,0.1734353367663769,4
2020-01-10,RealEstate,-0.11547005383792516,0.19237604307034012,0.22197688752240854,6
2020-01-10,Tech,0.75,0.6362837282291306,0.5639230484541327,21
2020-01-10,Utilities,0.14433756729740646,0.20207259421636903,0.33094010767585036,7
2020-01-13,Comm,1.0,0.35931905563252264,0.292652388965856,14
2020-01-13,Consumer,0.4309401076758503,0.35026458689033846,0.3440765653551684,29
2020-01-13,Energy,0.28452994616207483,0.21058410360058422,0.23986613590333933,19
2020-01-13,Financials,0.22602733473793357,0.1621126752798747,0.07071918679711792,33
2020-01-13,Healthcare,0.5464101615137755,0.31451276357493196,0.2914187528073469,24
2020-01-13,Industrials,0.0,0.07593963430469688,0.046125394604699686,10
2020-01-13,Materials,0.7886751345948129,0.2588096839103416,0.1588096839103416,4
2020-01-13,RealEstate,1.0,0.39237604307034013,0.19237604307034012,3
2020-01-13,Tech,0.8309401076758502,0.6993777389967155,0.6362837282291306,39
2020-01-13,Utilities,0.14433756729740646,0.20207259421636903,0.20207259421636903,6
2020-01-14,Comm,0.2886751345948129,0.3785640646055101,0.35931905563252264,4
2020-01-14,Consumer,0.4309401076758503,0.33335859765792347,0.35026458689033846,19
2020-01-14,Energy,0.16329931618554522,0.22730087938848662,0.21058410360058422,23
2020-01-14,Financials,0.13969773108444727,0.19005222149676415,0.1621126752798747,38
2020-01-14,Healthcare,0.0,0.29141875280734697,0.31451276357493196,9
2020-01-14,Industrials,0.1924500897298753,0.06442965225067195,0.07593963430469688,10
2020-01-14,Materials,0.2886751345948129,0.2498780441626375,0.2588096839103416,4
2020-01-14,RealEstate,0.0,0.29237604307034015,0.39237604307034013,2
2020-01-14,Tech,0.7182335127930838,0.6930244415553324,0.6993777389967155,12
2020-01-14,Utilities,0.1924500897298753,0.12509255832441896,0.20207259421636903,5
2020-01-15,Comm,0.0,0.3208290376865476,0.3785640646055101,9
2020-01-15,Consumer,0.39433756729740643,0.41222611111740476,0.33335859765792347,27
2020-01-15,Energy,0.46188021535170065,0.2396769224588267,0.22730087938848662,13
2020-01-15,Financials,0.4805056675397622,0.28615335500471656,0.19005222149676415,36
2020-01-15,Healthcare,0.3849001794597506,0.3017321220326304,0.29141875280734697,12
